pais;provincia;departamento;año;modelo;actividad;margen_bruto_($/ha);resultado_neto_($/ha);ingreso_neto_($/ha);gastos_directos_($/ha);costos_indirectos_($/ha);eficiencia_stock_(%);producción_(kg/ha);destete_(%);carga_(kg/ha);;;
Argentina;Corrientes;General Alvear;2018;corrientes nor-este;ciclo completo;484;249;798;314;235;20;29;50;144;;;
Argentina;Corrientes;Curuzu Cuatia;2018;corrientes centro sur;cria;1476;1153;1885;409;323;29;63;67;215;;;
Argentina;Corrientes;Mercedes;2018;corrientes centro sur;cria;1476;1153;1885;409;323;29;63;67;215;;;
Argentina;Corrientes;Sauce;2018;corrientes centro sur;cria;1476;1153;1885;409;323;29;63;67;215;;;
Argentina;Buenos Aires;Lezama;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Bolivar;2017;buenos aires centro-sudoeste;ciclo completo;1630;155;3246;1616;1476;35;117;69;336;;;
Argentina;Buenos Aires;Daireaux;2017;buenos aires centro-sudoeste;ciclo completo;1630;155;3246;1616;1476;35;117;69;336;;;
Argentina;Buenos Aires;Coronel Suarez;2017;buenos aires centro-sudoeste;ciclo completo;1630;155;3246;1616;1476;35;117;69;336;;;
Argentina;Cordoba;General San Martin;2017;centro cordoba sur;ciclo completo;1965;418;4263;2298;1547;36;157;65;436;;;
Argentina;Cordoba;Juarez Celman;2017;centro cordoba sur;ciclo completo;1965;418;4263;2298;1547;36;157;65;436;;;
Argentina;Cordoba;Marcos Juarez;2017;centro cordoba sur;ciclo completo;1965;418;4263;2298;1547;36;157;65;436;;;
Argentina;Cordoba;Presidente Roque Saenz Peña;2017;centro cordoba sur;ciclo completo;1965;418;4263;2298;1547;36;157;65;436;;;
